OrderID,OrderDate,CustomerID,CustomerName,ProductName,Category,SubCategory,Quantity,Sales,Profit,Region,State
ORD-10000,2021-02-25,CUST-1047,Linda Wilson,3-Ring Binder V1,Office Supplies,Storage,2,134.28,31.51,North,Michigan
ORD-10001,2022-11-23,CUST-1006,Nancy Moore,Samsung Galaxy V1,Technology,Printers,5,3414.39,220.59,West,Nevada
ORD-10002,2022-02-13,CUST-1200,John Davis,MacBook Pro Standard,Technology,Laptops,8,1564.7,152.39,East,New York
ORD-10003,2021-08-10,CUST-1138,John Miller,USB Hub Standard,Technology,Accessories,7,1581.96,237.7,East,Massachusetts
ORD-10004,2021-03-26,CUST-1159,Lisa Williams,Ballpoint Pens Set Plus,Office Supplies,Pens,9,77.26,16.84,South,Virginia
ORD-10005,2021-12-27,CUST-1125,Richard Miller,Coffee Table Elite,Furniture,Furnishings,9,2591.09,673.31,North,Michigan
ORD-10006,2022-05-15,CUST-1130,Betty Moore,Wireless Mouse V2,Technology,Accessories,6,1437.53,284.39,East,Pennsylvania
ORD-10007,2021-01-21,CUST-1031,Thomas Garcia,Samsung Galaxy Standard,Technology,Accessories,7,501.91,82.99,South,Virginia
ORD-10008,2022-03-30,CUST-1186,Jessica Taylor,Scissors Set Standard,Office Supplies,Storage,6,134.47,29.61,East,New York
ORD-10009,2022-05-30,CUST-1099,Joseph Taylor,File Folders Standard,Office Supplies,Binders,9,66.53,8.42,North,Ohio
ORD-10010,2022-04-11,CUST-1148,William Miller,HP LaserJet Standard,Technology,Accessories,3,776.6,187.16,East,Massachusetts
ORD-10011,2023-08-20,CUST-1030,Nancy Davis,Standing Desk Elite,Furniture,Furnishings,8,565.43,-2.47,East,Connecticut
ORD-10012,2021-06-24,CUST-1006,Nancy Moore,3-Ring Binder Plus,Office Supplies,Paper,10,159.83,36.79,West,Arizona
ORD-10013,2022-03-02,CUST-1154,Robert Wilson,HP LaserJet Plus,Technology,Printers,4,683.68,-50.41,East,Connecticut
ORD-10014,2022-08-14,CUST-1005,Michael Miller,Scissors Set V2,Office Supplies,Labels,5,160.38,50.44,South,Texas
ORD-10015,2021-05-27,CUST-1166,Betty Wilson,Wireless Mouse Pro,Technology,Phones,10,1987.79,106.75,West,Oregon
ORD-10016,2021-03-23,CUST-1089,Christopher Davis,Sticky Notes Pack Elite,Office Supplies,Storage,1,122.72,47.17,North,Minnesota
ORD-10017,2023-11-29,CUST-1120,Richard Smith,Sticky Notes Pack Pro,Office Supplies,Paper,8,205.06,43.75,East,Massachusetts
ORD-10018,2022-08-14,CUST-1153,Robert Smith,3-Ring Binder Plus,Office Supplies,Paper,2,13.75,6.02,South,North Carolina
ORD-10019,2023-11-28,CUST-1168,David Smith,Scissors Set Standard,Office Supplies,Paper,4,228.18,37.7,North,Illinois
ORD-10020,2021-01-29,CUST-1138,John Miller,iPhone 14 Plus,Technology,Phones,2,260.23,-15.32,West,Washington
ORD-10021,2022-05-15,CUST-1040,Barbara Moore,Sticky Notes Pack Pro,Office Supplies,Binders,10,42.17,16.68,North,Minnesota
